Year,Brand,Model,Mileage,Price
2024,YAMAHA,Mio Aerox,2355,"88,030"
2022,YAMAHA,Mio Aerox,33003,"86,709"
2023,YAMAHA,Mio Aerox,7076,"88,730"
2021,YAMAHA,NMAX ABS,37618,"100,878"
2023,YAMAHA,NMAX ABS,20000,"105,993"
2023,YAMAHA,NMAX ABS,24962,"76,707"
2024,HONDA,PCX160 (ABS) ,8962,"118,856"
2023,HONDA,PCX160 (ABS),8990,"119,117"
2024,HONDA, PCX160 (CBS) ,4222,"103,565"
2022,HONDA,PCX160 (CBS),28389,"72,706"
2023,VESPA,Primavera Special Edition,36,"156,226"
2023,SUZUKI,Raider R 150 Fi,12712,"74,554"
2023,YAMAHA,SNIPER155,36607,"86,639"
2023,YAMAHA,SNIPER155,27733,"87,676"
2023,YAMAHA,SNIPER155R,6941,"102,010"
2023,HONDA,Supra GTR 150,6614,"84,125"
2024,HONDA,TMX 125A,2049,"32,817"
2024,HONDA,CLICK 125 (ACB125CBFR3),11463,"48,491"
2024,HONDA,CLICK 125 (STANDARD),6161,"60,250"
2021,HONDA,CLICK 125i,32397,"32,532"
2023,SUZUKI,Raider R 150 Carburetor,7769,"53,485"
2023,KAWASAKI,CT125 w/ MCP,22512,"33,510"
2022,YAMAHA,MIO I 125,9441,"38,026"
2023,YAMAHA,MIO I 125,14386,"47,424"
2024,YAMAHA,MIO I 125,7547,"54,844"
2021,YAMAHA,NMAX,33439,"58,115"
2020,YAMAHA,SOUL I 125,21088,"36,857"
2024,HONDA,ADV160,4509,"130,781"
2024,KAWASAKI,BARAKO 175 ELECTRIC,1722,"66,664"
2024,HONDA,BEAT (ACH110CBFR) ,2291,"50,351"
2024,HONDA,BEAT (ACH110CBFR4),4361,"52,968"
2024,HONDA,CLICK 125 (STANDARD) ,3291,"64,296"
2024,HONDA,CLICK 125 (STANDARD),713,"65,462"
2023,HONDA,CLICK 125i,15000,"57,795"
2024,HONDA,CLICK 125i,2399,"56,918"
2024,HONDA,CLICK 125i,9550,"57,954"
2023,HONDA,Click160,8775,"96,566"
2023,YAMAHA,MIO I 125,7566,"61,963"
2024,YAMAHA,MIO I 125,11328,"61,574"
2024,YAMAHA,MIO I 125,1587,"61,574"
2023,YAMAHA,MIO SPORTY,7405,"59,630"
2022,YAMAHA,MIO SPORTY,13113,"45,316"
2024,YAMAHA,Mio Aerox,10853,"86,018"
2023,YAMAHA,NMAX ABS,17357,"107,205"
2023,YAMAHA,NMAX ABS,8146,"107,205"
2024,SUZUKI,SMASH FI (SPOKES/DRUM),10399,"52,632"
2024,HONDA,TMX 125A,3283,"45,245"
2024,HONDA,TMX 125A,2960,"40,720"
2024,HONDA,TMX 125A,6031,"45,245"
2023,HONDA,WAVE RSX (DRUM),,"44,476"
2024,HONDA,WINNER X (ABS PREMIUM),5834,"102,010"
